Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%
POST,/v1/projects/353405444880/locations/us-central1/endpoints/5268749769139811111:predict,13368,0,340,381.8238801,322.687,2163.4901,272,25.60808928,0,340,340,350,360,480,730,850,900,1400,2200,2200
,Aggregated,13368,0,340,381.8238801,322.687,2163.4901,272,25.60808928,0,340,340,350,360,480,730,850,900,1400,2200,2200
